PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3999,0,3,Countess. Rose White,male,,0.0,0.0,PC 5419,41.02,,S
11697,0,3,Mrs. Gladys White,male,35.0,0.0,1.0,SC/AH 8133,93.18,,S
14382,1,3,Countess. Grace Smith,male,23.0,,0.0,SC/Paris 7863,40.18,,S
3150,0,3,Major. Richard Davis,male,22.0,0.0,0.0,STON/O2 9546,1.94,,S
3766,0,3,Lady. Alice Brown,male,50.0,0.0,1.0,SOTON/OQ 6197,,F44,C
6480,0,1,Miss. Margaret Garcia,male,17.0,0.0,1.0,C.A 3834,115.74,,S
6426,0,2,Mme. Margaret Smith,male,10.0,0.0,0.0,A/5 3527,32.18,C48,S
8967,1,1,Col. Richard Miller,male,27.0,2.0,1.0,SOTON/OQ 2859,26.07,,S
6499,0,3,Major. Charles Lewis,male,40.0,0.0,0.0,A/4 2620,8.65,F23,S
10785,1,2,Mr. Frank Brown,female,16.0,1.0,0.0,SC/AH 2786,124.11,,S
14880,0,3,Rev. John Anderson,male,30.0,1.0,1.0,PP 8361,3.13,E27,S
2200,0,2,Countess. Mary Harris,male,7.0,0.0,0.0,A/4 6838,7.44,F34,C
5912,1,3,Dr. Henry Smith,female,24.0,2.0,1.0,CA 8674,3.9,,S
2270,0,2,Capt. Robert White,male,34.0,0.0,1.0,C.A 1789,25.32,,S
6894,0,3,Mme. Mary Clark,male,16.0,0.0,0.0,CA 6667,16.2,E89,C
749,0,3,Dr. Arthur Anderson,male,20.0,3.0,1.0,SC/Paris 1303,22.14,C104,Q
13245,1,1,Mme. Florence Thompson,male,53.0,1.0,0.0,PP 7432,12.86,,C
5989,0,2,Rev. Louis Wilson,male,38.0,0.0,0.0,CA 8632,,,C
3669,0,3,Rev. Fred Lewis,male,14.0,2.0,0.0,A/4 1406,,,S
561,1,3,Mme. Edith Martin,female,5.0,1.0,0.0,SOTON/OQ 9987,65.33,,S
2640,1,1,Rev. Edward Davis,male,53.0,,0.0,SC/Paris 9689,59.34,,S
9762,0,3,Dr. Louis Thomas,male,26.0,1.0,0.0,A/S 3946,3.44,,S
5415,0,3,Miss. Elizabeth Taylor,male,29.0,0.0,0.0,PP 1906,9.02,,C
9732,0,2,Major. Robert Thompson,female,46.0,2.0,0.0,A/5 2026,3.61,,S
12495,0,3,Rev. Edward White,male,33.0,0.0,0.0,SC/Paris 4947,20.93,,C
13913,0,3,Col. Harry Garcia,male,22.0,,0.0,CA 6859,1.27,,C
3358,0,3,Rev. David Lewis,male,35.0,0.0,1.0,PP 6576,0.87,E84,S
13757,0,2,Mr. Edward Wilson,male,37.0,1.0,3.0,SC/AH 4221,17.81,,S
914,0,3,Col. David White,male,22.0,0.0,0.0,CA 6182,8.81,,S
14744,0,3,Capt. Frank Rodriguez,male,44.0,0.0,0.0,PC 5210,41.73,G64,C
